EGO_ID,ALTER_ID,EGO_UID,ALTER_UID,EGO_UID_str,K1,K2,K3,K3ant_1,K3ant_2,K4,K5_1,K5_2,K5_3,K5_4,K6,K7,K8,K8A_1,K8A_2,K9,K10,K10A,K11,K11A,K12,K13_1,K13_2,K13_3,K13_4,K13_5,K13_6,K13_7,K13_8,K13_9,K13_10,K14,K15,K16,K17_1,K17_2,K17_3,K18,K19,K20,K21,K22_1,K22_2,K22_3,K23_1,K23_2,K23_3,K23_4,K23_5,K24,K25,K26,K27_1,K27_2,interakciok_szama,QTAL2_min,QTAL2_max,QTAL3_min,QTAL3_max,QTAL3A_min,QTAL3A_max,QTAL4_min,QTAL4_max,QTAL5_min,QTAL5_max,date_TAL1_min,date_TAL1_max,tipus_min,tipus_max,Q6,Q7,Q7NT_1,Q7KAT,Q8,Q8B,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_other,Q10,Q10_other,Q11,Q12,Q13,Q14,Q15
Szimplifikált EGO azonosító,Szimplifikált ALTER azonosító,attribute_9,token,attribute_9,K1.  Mi az Ön neme?,K2.   Melyik évben született Ön?        99   =  Nem tudja        88   =  Nem válaszol,K3. Hol született Ön?         ,[Nem tudja],[Nem válaszol],K4.  Jelenleg melyik kerületben lakik Ön életvitelszerűen?,[a. Ugyanaz ahol gyerekkorában lakott?]         K5. Az a ház/lakás_ ahol most Ön él_ az…,[b. Ugyanazon a környéken van_ ahol gyerekkorában lakott?]         K5. Az a ház/lakás_ ahol most Ön él_ az…,[c. Ugyanazon a településen?]         K5. Az a ház/lakás_ ahol most Ön él_ az…,[d. Ugyan abban az országban?]         K5. Az a ház/lakás_ ahol most Ön él_ az…,K6.  Mi az Ön legmagasabb iskolai végzettsége?,K7.  Mi az Ön munkaerőpiaci-státusza?,K8.   Részesült-e már munkanélküli segélyben?          ,[Mikor_ hány hónappal ezelőtt? ]         K8A.   Amikor munkanélküli segélyben részesült: legutóbb mikor_ mennyi ideig?        99   =  Nem tudja        88   =  Nem válaszol,[Milyen hosszú ideig_ azaz hány hónapig:]         K8A.   Amikor munkanélküli segélyben részesült: legutóbb mikor_ mennyi ideig?        99   =  Nem tudja        88   =  Nem válaszol,K9.   Mekkora az Ön háztartása? Hányan élnek Önnel együtt egy háztartásban?        99   =  NT        88   =  NV,K10.   Van-e Önnek testvére? ,K10A.   Hány testvére van Önnek?         99   =  NT        88   =  NV,K11.  Tartós párkapcsolatban él-e ön?,K11A.  Együtt él-e a párjával?,K12.  Élnek-e még a szülei?         ,[Extrovertált/külvilág felé forduló_ lelkes vagyok]         K13. A következőkben kérem határozza meg_ hogy egy egytől tízes skálán Ön hányra értékelné magát az alábbi állítások közül_ ahol egy az egyáltalán nem értek egyet_ tí,[Kritikus és kötözködő vagyok ]   K13. A következőkben kérem határozza meg_ hogy egy egytől tízes skálán Ön hányra értékelné magát az alábbi állítások közül_ ahol egy az egyáltalán nem értek egyet_ tí,[Megbízható_ higgadt vagyok  ]         K13. A következőkben kérem határozza meg_ hogy egy egytől tízes skálán Ön hányra értékelné magát az alábbi állítások közül_ ahol egy az egyáltalán nem értek egyet_ tíz pedig a teljes mérté,[Szorongó vagyok és könnyen feldúlttá válok  ]         K13. A következőkben kérem határozza meg_ hogy egy egytől tízes skálán Ön hányra értékelné magát az alábbi állítások közül_ ahol egy az egyáltalán nem értek egyet_ tíz pe,[Nyitott vagyok az új élményekre_ összeszedett vagyok  ]         K13. A következőkben kérem határozza meg_ hogy egy egytől tízes skálán Ön hányra értékelné magát az alábbi állítások közül_ ahol egy az egyáltalán nem értek egyet_,[Visszafogott_ csendes vagyok]         K13. A következőkben kérem határozza meg_ hogy egy egytől tízes skálán Ön hányra értékelné magát az alábbi állítások közül_ ahol egy az egyáltalán nem értek egyet_ tíz pedig a teljes mértékb,[Együttérző_ élénk vagyok]         K13. A következőkben kérem határozza meg_ hogy egy egytől tízes skálán Ön hányra értékelné magát az alábbi állítások közül_ ahol egy az egyáltalán nem értek egyet_ tíz pedig a teljes mérték,[Szétszórt vagyok_ rendetlen]         K13. A következőkben kérem határozza meg_ hogy egy egytől tízes skálán Ön hányra értékelné magát az alábbi állítások közül_ ahol egy az egyáltalán nem értek egyet_ tíz pedig a teljes mérték,[Nyugodt vagyok_ érzelmileg stabil]         K13. A következőkben kérem határozza meg_ hogy egy egytől tízes skálán Ön hányra értékelné magát az alábbi állítások közül_ ahol egy az egyáltalán nem értek egyet_ tíz pedig a teljes mé,[Hagyományos_ földhözragadt vagyok]         K13. A következőkben kérem határozza meg_ hogy egy egytől tízes skálán Ön hányra értékelné magát az alábbi állítások közül_ ahol egy az egyáltalán nem értek egyet_ tíz pedig a teljes m,K14.  Hogy érzi_ Önök anyagilag...,K15.  Magyarországon vannak magasabb és alacsonyabb társadalmi helyzetű emberek.         Egy 1-10-es skálán hol helyezné el magát_ ahol a 10 a legmagasabb társadalmi helyzetű embereket_ az 1 pedig a legalacsonyabb helyzetűeket jelenti. ,K16.   Hány barátja van Önnek?        999   =  NT        888   =  NV,[a. rokonaival]         K17. Milyen gyakran találkozik Ön szabadidejében…,[b. barátaival]         K17. Milyen gyakran találkozik Ön szabadidejében…,[c. kollégáival ]         K17. Milyen gyakran találkozik Ön szabadidejében…,K18.   Hány olyan személy van – ha van ilyen –_ akivel meg tudja beszélni személyes_ legbensőbb magánügyeit?        999   =  Nem tudja        888   =  Nem válaszol,K19.  Milyen gyakran szokott Ön internetezni?,K20.  Használ-e Ön kommunikáció céljából közösségi médiát?,K21.  Milyennek tartja az Ön általános egészségi állapotát?,[a. családon belüli kapcsolataival]         K22. Kérem_ mondja meg_ hogy mennyire elégedett a következő dolgokkal?,[b. baráti kapcsolataival]         K22. Kérem_ mondja meg_ hogy mennyire elégedett a következő dolgokkal?,[c. mindent egybevetve az életével]         K22. Kérem_ mondja meg_ hogy mennyire elégedett a következő dolgokkal?,[a. család]         K23. Mennyire fontosak az Ön életében az alábbi közösségek?,[b. baráti társaság]         K23. Mennyire fontosak az Ön életében az alábbi közösségek?,[c. munkahely/iskolai közösség]         K23. Mennyire fontosak az Ön életében az alábbi közösségek?,[d. szomszédság]         K23. Mennyire fontosak az Ön életében az alábbi közösségek?,[e. lakóhelyi_ helyi közösségi szervezet]         K23. Mennyire fontosak az Ön életében az alábbi közösségek?,K24.  Mindent egybevetve_ mennyire érzi magát boldognak? ,K25.  A Mennyire igaz önre a következő állítás „gyakran érzem magányosnak magam.”,K26.  Általánosságban mit mondana_ hogy meg lehet bízni az emberekben_ vagy sosem lehetünk elég óvatosak?,[a. …érezte magát letörtnek vagy boldogtalannak?]         K27. Az elmúlt 4 hétben milyen gyakran…,[b. …érezte azt_ hogy nehézségei oly mértékben felgyülemlettek_ hogy nem tudja megoldani azokat]         K27. Az elmúlt 4 hétben milyen gyakran…,Hányszor beszéltek,A beszélgetés módja  (minimuma),A beszélgetés módja (maximuma),A beszélgetés helyszíne (minimuma),A beszélgetés helyszíne (maximuma),A beszélgetés helyszíne (minimuma),A beszélgetés helyszíne (maximuma),Mennyi ideig beszélgettek? (minimuma),Mennyi ideig beszélgettek? (maximuma),Ön kapcsolatba került az adott személlyel_ hogyan érezte magát eközben? (minimuma),Ön kapcsolatba került az adott személlyel_ hogyan érezte magát eközben? (maximuma),Találkozás (minimuma: első említés),Találkozás (maximuma: utolsó említés),Típus (minimuma),Típus (maximuma),Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.        6.A megnevezett neme,Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik. 7. A megnevezett életkora,[nem tudom],kérjük becsülje meg_ hogy a következő kategóriák közül melyikbe tartozik?         ,Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik. 8. Megnevezett legmagasabb iskolai végzettsége,8. kérjük becsülje meg megnevezett legmagasabb iskolai végzettségét!,[házastárs/élettárs_                                                                                ]         Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[partner (barát/barátnő)_                                                                           ]  Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[szülő_                                                                                             ]   Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[gyermek_                                                                                           ]     Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[testvér_                                                                                           ]    Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[egyéb rokon_                                                                                       ]    Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[ barát_ barátnő_                                                                                   ]  Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[régebbi szomszéd_                                                                                  ]   Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[jelenlegi szomszéd_                                                                                ]    Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[régebbi munkatárs_                                                                                 ]   Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[jelenlegi munkatárs_                                                                               ]    Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[egyéb munkahelyi kapcsolat (pl portás_ takarító)_                                                  ]         Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[osztálytárs_                                         ]         Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[tanár _                  ]      Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[szolgáltató (pl. boltos_ postás_ fodrász)_                                                         ]         Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[ismerős (pl. utcabeli  vagy valamilyen  tevékenységhez  tartozó  személy (konditerem_ közlekedés)_ ]      Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,[Egyéb]  Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       Q9.  A kapcsolat típusa?      Több választ is megjelölhet!,Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik. 10. Elsősorban honnan ismeri?,[Egyéb]  Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik.       10. Elsősorban honnan ismeri?,Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik. 11. Általában milyen gyakran beszélnek akár személyesen_ akár telefonon_ akár interneten?,Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik. 12. Mennyire bízik Ön a megnevezett személyben?,Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik. 13. Mennyire jellemző_ hogy Ön elmondja személyes problémáit a megnevezett személynek?,Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik. 14. Mennyire jellemző_ hogy a megnevezett személy személyes problémáit elmondja Önnek?,Ez a kérdés  {ALTER_NAME}   ismerősére vonatkozik. 15. Mennyire fontos az Ön számára a megnevezett személy?
1,1521,103583,1647733558386799,103583,2,1967,Pécs,0,0,1,2,2,1,1,2,1,1,253,6,3,2, ,1,1,4,6,4,8,8,8,2,6,2,4,7,3,5,5,2,2,7,2,1,1,3,4,4,3,5,4,5,3,3,7,2,3,4,4,29,1,9,1,1, , ,1,5,4,5,10/22/2020,11/17/2020,samsung SM-A705FN,samsung SM-A705FN,1,59,0, ,1, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1, ,1,4,4,4,4
1,1522,103583,1648733558904714,103583,2,1967,Pécs,0,0,1,2,2,1,1,2,1,1,253,6,3,2, ,1,1,4,6,4,8,8,8,2,6,2,4,7,3,5,5,2,2,7,2,1,1,3,4,4,3,5,4,5,3,3,7,2,3,4,4,1,2,2, , , , ,1,1,3,3,10/22/2020,10/22/2020,samsung SM-A705FN,samsung SM-A705FN,1,30,0, ,2, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,5, ,5,3,1,3,2
1,1523,103583,1649733626958745,103583,2,1967,Pécs,0,0,1,2,2,1,1,2,1,1,253,6,3,2, ,1,1,4,6,4,8,8,8,2,6,2,4,7,3,5,5,2,2,7,2,1,1,3,4,4,3,5,4,5,3,3,7,2,3,4,4,9,1,1,1,1, , ,1,3,3,4,10/23/2020,11/15/2020,samsung SM-A705FN,samsung SM-A705FN,2,59,0, ,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, ,2, ,2,2,2,3,2
1,1524,103583,1650733627476660,103583,2,1967,Pécs,0,0,1,2,2,1,1,2,1,1,253,6,3,2, ,1,1,4,6,4,8,8,8,2,6,2,4,7,3,5,5,2,2,7,2,1,1,3,4,4,3,5,4,5,3,3,7,2,3,4,4,1,3,3, , , , ,2,2,5,5,10/23/2020,10/23/2020,samsung SM-A705FN,samsung SM-A705FN,1,33,0, ,4, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,1, ,6,4,2,2,4
1,1525,103583,1651733688072715,103583,2,1967,Pécs,0,0,1,2,2,1,1,2,1,1,253,6,3,2, ,1,1,4,6,4,8,8,8,2,6,2,4,7,3,5,5,2,2,7,2,1,1,3,4,4,3,5,4,5,3,3,7,2,3,4,4,8,1,9,1,5, , ,2,3,3,4,10/24/2020,11/11/2020,samsung SM-A705FN,samsung SM-A705FN,1,60,0, ,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, ,2, ,1,3,2,2,2
1,1526,103583,1652733688590630,103583,2,1967,Pécs,0,0,1,2,2,1,1,2,1,1,253,6,3,2, ,1,1,4,6,4,8,8,8,2,6,2,4,7,3,5,5,2,2,7,2,1,1,3,4,4,3,5,4,5,3,3,7,2,3,4,4,13,1,2,1,9, , ,1,5,4,5,10/24/2020,11/15/2020,samsung SM-A705FN,samsung SM-A705FN,2,86,0, ,1, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1, ,1,4,4,4,4
1,1527,103583,1653733734477899,103583,2,1967,Pécs,0,0,1,2,2,1,1,2,1,1,253,6,3,2, ,1,1,4,6,4,8,8,8,2,6,2,4,7,3,5,5,2,2,7,2,1,1,3,4,4,3,5,4,5,3,3,7,2,3,4,4,6,1,4,1,4, , ,1,3,4,5,10/25/2020,11/17/2020,samsung SM-A705FN,samsung SM-A705FN,2,30,0, ,1, ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,5, ,3,3,2,3,3
1,1528,103583,1654733751569094,103583,2,1967,Pécs,0,0,1,2,2,1,1,2,1,1,253,6,3,2, ,1,1,4,6,4,8,8,8,2,6,2,4,7,3,5,5,2,2,7,2,1,1,3,4,4,3,5,4,5,3,3,7,2,3,4,4,10,1,1,2,2, , ,3,5,3,4,10/26/2020,11/17/2020,samsung SM-A705FN,samsung SM-A705FN,1,22,0, ,3, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, ,5, ,1,2,1,1,2
1,1529,103583,1655733752087009,103583,2,1967,Pécs,0,0,1,2,2,1,1,2,1,1,253,6,3,2, ,1,1,4,6,4,8,8,8,2,6,2,4,7,3,5,5,2,2,7,2,1,1,3,4,4,3,5,4,5,3,3,7,2,3,4,4,12,1,1,2,2, , ,2,5,3,4,10/26/2020,11/17/2020,samsung SM-A705FN,samsung SM-A705FN,2,50,0, ,2, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, ,5, ,1,2,2,3,2
